Set,Connection Name,FlexDeploy Variable Name,Data Value,Attachment
Y,CONCUR_REST.connection.Connection Type=,FD_OIC_CMN_RESTURL,,
Y,CONCUR_REST.connection.TLS Version=,FD_OIC_CMN_TLS,,
Y,CONCUR_REST.connection.Connection URL=,FD_OIC_CONCUR_URL,,
N,CONCUR_REST.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,CONCUR_REST.connection.Identity keystore alias name (Optional)=,,,
Y,CONCUR_REST.secure.Access Token Request=,FD_OIC_CONCUR_ACCESS_TOKEN_RQ,,
Y,CONCUR_REST.secure.Refresh Token Request=,FD_OIC_CONCUR_REFRESH_TOKEN_RQ,,
Y,CONCUR_REST.secure.$access_token=,FD_OIC_CONCUR_ACCESS_TOKEN,,
Y,CONCUR_REST.secure.$refresh_token=,FD_OIC_CONCUR_REFRESH_TOKEN,,
Y,CONCUR_REST.secure.$expiry=,FD_OIC_CONCUR_EXPIRY,,
Y,CONCUR_REST.secure.$token_type=,FD_OIC_CONCUR_TOKEN_TYPE,,
Y,CONCUR_REST.secure.access_token_usage=,FD_OIC_CONCUR_ACCESS_TOKEN_USAGE,,
N,CONCUR_REST.agentDefinition=,,,
N,,,,
Y,CONCUR_REST_INVOKE.connection.Connection Type=,FD_OIC_CMN_RESTURL,,
Y,CONCUR_REST_INVOKE.connection.TLS Version=,FD_OIC_CMN_TLS,,
Y,CONCUR_REST_INVOKE.connection.Connection URL=,FD_OIC_CONCUR_URL,,
N,CONCUR_REST_INVOKE.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,CONCUR_REST_INVOKE.connection.Identity keystore alias name (Optional)=,,,
Y,CONCUR_REST_INVOKE.secure.Access Token Request=,FD_OIC_CONCUR_ACCESS_TOKEN_RQ,,
Y,CONCUR_REST_INVOKE.secure.Refresh Token Request=,FD_OIC_CONCUR_REFRESH_TOKEN_RQ,,
Y,CONCUR_REST_INVOKE.secure.$access_token=,FD_OIC_CONCUR_ACCESS_TOKEN,,
Y,CONCUR_REST_INVOKE.secure.$refresh_token=,FD_OIC_CONCUR_REFRESH_TOKEN,,
Y,CONCUR_REST_INVOKE.secure.$expiry=,FD_OIC_CONCUR_EXPIRY,,
Y,CONCUR_REST_INVOKE.secure.$token_type=,FD_OIC_CONCUR_TOKEN_TYPE,,
Y,CONCUR_REST_INVOKE.secure.access_token_usage=,FD_OIC_CONCUR_ACCESS_TOKEN_USAGE,,
N,CONCUR_REST_INVOKE.agentDefinition=,,,
N,,,,
Y,DBNET_LOAD_SOAP.connection.WSDL URL=,FD_OIC_DBNET_LOAD_URL,,
N,DBNET_LOAD_SOAP.connection.Service WSDL=,,,
N,DBNET_LOAD_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,DBNET_LOAD_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,DBNET_LOAD_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,DBNET_LOAD_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,DBNET_LOAD_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,DBNET_LOAD_SOAP.secure.Username=,FD_OIC_DBNET_USER,,
Y,DBNET_LOAD_SOAP.secure.Password=,FD_OIC_DBNET_PASS,,
N,DBNET_LOAD_SOAP.agentDefinition=,,,
N,,,,
Y,DBNET_STATUS_SOAP.connection.WSDL URL=,FD_OIC_DBNET_STATUS_URL,,
N,DBNET_STATUS_SOAP.connection.Service WSDL=,,,
N,DBNET_STATUS_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,DBNET_STATUS_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,DBNET_STATUS_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,DBNET_STATUS_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,DBNET_STATUS_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,DBNET_STATUS_SOAP.secure.Username=,FD_OIC_DBNET_USER,,
Y,DBNET_STATUS_SOAP.secure.Password=,FD_OIC_DBNET_PASS,,
N,DBNET_STATUS_SOAP.agentDefinition=,,,
N,,,,
Y,HSBCAP_FTP.connection.FTP Server Host Address=,FD_OIC_HSBC_SFTP_URL,,
Y,HSBCAP_FTP.connection.FTP Server Port=,FD_OIC_CMN_PORT_10022,,
Y,HSBCAP_FTP.connection.SFTP Connection=,FD_OIC_CMN_SFTP_CONF,,
N,HSBCAP_FTP.connection.Passive IP as Host Address=,,,
N,HSBCAP_FTP.connection.Host Key=,,,
N,HSBCAP_FTP.connection.FTP SSL Type=,,,
N,HSBCAP_FTP.connection.SSL Certificate=,,,
N,HSBCAP_FTP.connection.FTP Server OS=,,,
N,HSBCAP_FTP.connection.FTP SSL Channel Mask=,,,
N,HSBCAP_FTP.connection.SFTP Key Exchange Algorithm=,,,
N,HSBCAP_FTP.connection.SFTP Preferred Cipher Suite=,,,
N,HSBCAP_FTP.connection.SFTP Preferred Data Integrity Algorithm=,,,
N,HSBCAP_FTP.connection.SFTP Preferred PKI Algorithm=,,,
N,HSBCAP_FTP.connection.FTP Server Time Zone=,,,
Y,HSBCAP_FTP.secure.User Name=,FD_OIC_HSBC_SFTP_AP_NAME,,
Y,HSBCAP_FTP.secure.Private Key File=,FD_OIC_CMN_MX_SSH_PRI_KEY,,Y
Y,HSBCAP_FTP.secure.PassPhrase=,FD_OIC_CMN_MX_SSH_PRI_PASS,,
N,HSBCAP_FTP.secure.PGP Public Key=,,,
N,HSBCAP_FTP.secure.ASCII-Armor Encryption Format=,,,
N,HSBCAP_FTP.secure.Cipher Algorithm=,,,
N,HSBCAP_FTP.secure.PGP Private Key=,,,
N,HSBCAP_FTP.secure.PGP Private Key Password=,,,
N,HSBCAP_FTP.secure.PGP Sign Public Key=,,,
N,HSBCAP_FTP.secure.PGP Sign Private Key=,,,
N,HSBCAP_FTP.secure.PGP signing Private key password=,,,
N,HSBCAP_FTP.agentDefinition=,,,
N,,,,
Y,HSBCCN_FTP.connection.FTP Server Host Address=,FD_OIC_HSBC_SFTP_URL,,
Y,HSBCCN_FTP.connection.FTP Server Port=,FD_OIC_CMN_PORT_10022,,
Y,HSBCCN_FTP.connection.SFTP Connection=,FD_OIC_CMN_SFTP_CONF,,
N,HSBCCN_FTP.connection.Passive IP as Host Address=,,,
N,HSBCCN_FTP.connection.Host Key=,,,
N,HSBCCN_FTP.connection.FTP SSL Type=,,,
N,HSBCCN_FTP.connection.SSL Certificate=,,,
N,HSBCCN_FTP.connection.FTP Server OS=,,,
N,HSBCCN_FTP.connection.FTP SSL Channel Mask=,,,
N,HSBCCN_FTP.connection.SFTP Key Exchange Algorithm=,,,
N,HSBCCN_FTP.connection.SFTP Preferred Cipher Suite=,,,
N,HSBCCN_FTP.connection.SFTP Preferred Data Integrity Algorithm=,,,
N,HSBCCN_FTP.connection.SFTP Preferred PKI Algorithm=,,,
N,HSBCCN_FTP.connection.FTP Server Time Zone=,,,
Y,HSBCCN_FTP.secure.User Name=,FD_OIC_HSBC_SFTP_CN_NAME,,
Y,HSBCCN_FTP.secure.Private Key File=,FD_OIC_CMN_MX_SSH_PRI_KEY,,Y
Y,HSBCCN_FTP.secure.PassPhrase=,FD_OIC_CMN_MX_SSH_PRI_PASS,,
N,HSBCCN_FTP.secure.PGP Public Key=,,,
N,HSBCCN_FTP.secure.ASCII-Armor Encryption Format=,,,
N,HSBCCN_FTP.secure.Cipher Algorithm=,,,
N,HSBCCN_FTP.secure.PGP Private Key=,,,
N,HSBCCN_FTP.secure.PGP Private Key Password=,,,
N,HSBCCN_FTP.secure.PGP Sign Public Key=,,,
N,HSBCCN_FTP.secure.PGP Sign Private Key=,,,
N,HSBCCN_FTP.secure.PGP signing Private key password=,,,
N,HSBCCN_FTP.agentDefinition=,,,
N,,,,
Y,INTERNAL_VIMOS_REST.connection.Connection Type=,FD_OIC_CMN_RESTURL,,
Y,INTERNAL_VIMOS_REST.connection.TLS Version=,FD_OIC_CMN_TLS,,
Y,INTERNAL_VIMOS_REST.connection.Connection URL=,FD_OIC_IMOS_OIC_URL,,
N,INTERNAL_VIMOS_REST.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,INTERNAL_VIMOS_REST.connection.Identity keystore alias name (Optional)=,,,
Y,INTERNAL_VIMOS_REST.secure.Username=,FD_OIC_CMN_OIC_USER,,
Y,INTERNAL_VIMOS_REST.secure.Password=,FD_OIC_CMN_OIC_PASS,,
N,INTERNAL_VIMOS_REST.agentDefinition=,,,
N,,,,
Y,ITC_SFTP.connection.FTP Server Host Address=,FD_OIC_ITC_SFTP_URL,,
Y,ITC_SFTP.connection.FTP Server Port=,FD_OIC_CMN_PORT_22,,
Y,ITC_SFTP.connection.SFTP Connection=,FD_OIC_CMN_SFTP_CONF,,
N,ITC_SFTP.connection.Passive IP as Host Address=,,,
N,ITC_SFTP.connection.Host Key=,,,
N,ITC_SFTP.connection.FTP SSL Type=,,,
N,ITC_SFTP.connection.SSL Certificate=,,,
N,ITC_SFTP.connection.FTP Server OS=,,,
N,ITC_SFTP.connection.FTP SSL Channel Mask=,,,
N,ITC_SFTP.connection.SFTP Key Exchange Algorithm=,,,
N,ITC_SFTP.connection.SFTP Preferred Cipher Suite=,,,
N,ITC_SFTP.connection.SFTP Preferred Data Integrity Algorithm=,,,
N,ITC_SFTP.connection.SFTP Preferred PKI Algorithm=,,,
N,ITC_SFTP.connection.FTP Server Time Zone=,,,
Y,ITC_SFTP.secure.User Name=,FD_OIC_ITC_SFTP_USER,,
Y,ITC_SFTP.secure.Password=,FD_OIC_ITC_SFTP_PASS,,
N,ITC_SFTP.secure.SSL Certificate Password=,,,
N,ITC_SFTP.secure.PGP Public Key=,,,
N,ITC_SFTP.secure.ASCII-Armor Encryption Format=,,,
N,ITC_SFTP.secure.Cipher Algorithm=,,,
N,ITC_SFTP.secure.PGP Private Key=,,,
N,ITC_SFTP.secure.PGP Private Key Password=,,,
N,ITC_SFTP.secure.PGP Sign Public Key=,,,
N,ITC_SFTP.secure.PGP Sign Private Key=,,,
N,ITC_SFTP.secure.PGP Sign Private key Password=,,,
N,ITC_SFTP.agentDefinition=,,,
N,,,,
Y,JPM_FTP.connection.FTP Server Host Address=,FD_OIC_JPM_SFTP_URL,,
Y,JPM_FTP.connection.FTP Server Port=,FD_OIC_CMN_PORT_22,,
Y,JPM_FTP.connection.SFTP Connection=,FD_OIC_CMN_SFTP_CONF,,
N,JPM_FTP.connection.Passive IP as Host Address=,,,
N,JPM_FTP.connection.Host Key=,,,
N,JPM_FTP.connection.FTP SSL Type=,,,
N,JPM_FTP.connection.SSL Certificate=,,,
N,JPM_FTP.connection.FTP Server OS=,,,
N,JPM_FTP.connection.FTP SSL Channel Mask=,,,
N,JPM_FTP.connection.SFTP Key Exchange Algorithm=,,,
N,JPM_FTP.connection.SFTP Preferred Cipher Suite=,,,
N,JPM_FTP.connection.SFTP Preferred Data Integrity Algorithm=,,,
N,JPM_FTP.connection.SFTP Preferred PKI Algorithm=,,,
N,JPM_FTP.connection.FTP Server Time Zone=,,,
Y,JPM_FTP.secure.User Name=,FD_OIC_JPM_SFTP_USER,,
Y,JPM_FTP.secure.Private Key File=,FD_OIC_CMN_MX_SSH_PRI_2022_KEY,,Y
Y,JPM_FTP.secure.PassPhrase=,FD_OIC_CMN_MX_SSH_PRI_PASS,,
N,JPM_FTP.secure.PGP Public Key=,,,
N,JPM_FTP.secure.ASCII-Armor Encryption Format=,,,
N,JPM_FTP.secure.Cipher Algorithm=,,,
N,JPM_FTP.secure.PGP Private Key=,,,
N,JPM_FTP.secure.PGP Private Key Password=,,,
N,JPM_FTP.secure.PGP Sign Public Key=,,,
N,JPM_FTP.secure.PGP Sign Private Key=,,,
N,JPM_FTP.secure.PGP signing Private key password=,,,
N,JPM_FTP.agentDefinition=,,,
N,,,,
Y,KLEIN_FTP.connection.FTP Server Host Address=,FD_OIC_KLS_SFTP_URL,,
Y,KLEIN_FTP.connection.FTP Server Port=,FD_OIC_CMN_PORT_22,,
Y,KLEIN_FTP.connection.SFTP Connection=,FD_OIC_CMN_SFTP_CONF,,
N,KLEIN_FTP.connection.Passive IP as Host Address=,,,
N,KLEIN_FTP.connection.Host Key=,,,
N,KLEIN_FTP.connection.FTP SSL Type=,,,
N,KLEIN_FTP.connection.SSL Certificate=,,,
N,KLEIN_FTP.connection.FTP Server OS=,,,
N,KLEIN_FTP.connection.FTP SSL Channel Mask=,,,
N,KLEIN_FTP.connection.SFTP Key Exchange Algorithm=,,,
N,KLEIN_FTP.connection.SFTP Preferred Cipher Suite=,,,
N,KLEIN_FTP.connection.SFTP Preferred Data Integrity Algorithm=,,,
N,KLEIN_FTP.connection.SFTP Preferred PKI Algorithm=,,,
N,KLEIN_FTP.connection.FTP Server Time Zone=,,,
Y,KLEIN_FTP.secure.User Name=,FD_OIC_KLS_SFTP_USER,,
Y,KLEIN_FTP.secure.Password=,FD_OIC_KLS_SFTP_PASS,,
N,KLEIN_FTP.secure.SSL Certificate Password=,,,
N,KLEIN_FTP.secure.PGP Public Key=,,,
N,KLEIN_FTP.secure.ASCII-Armor Encryption Format=,,,
N,KLEIN_FTP.secure.Cipher Algorithm=,,,
N,KLEIN_FTP.secure.PGP Private Key=,,,
N,KLEIN_FTP.secure.PGP Private Key Password=,,,
N,KLEIN_FTP.secure.PGP Sign Public Key=,,,
N,KLEIN_FTP.secure.PGP Sign Private Key=,,,
N,KLEIN_FTP.secure.PGP Sign Private key Password=,,,
Y,KLEIN_FTP.agentDefinition=,FD_OIC_CMN_VAN_AGENT,,
N,,,,
Y,KM_REST.connection.Connection Type=,FD_OIC_CMN_RESTURL,,
N,KM_REST.connection.TLS Version=,,,
Y,KM_REST.connection.Connection URL=,FD_OIC_KM_API_URL,,
N,KM_REST.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,KM_REST.connection.Identity keystore alias name (Optional)=,,,
Y,KM_REST.secure.Username=,FD_OIC_KM_API_USER,,
Y,KM_REST.secure.Password=,FD_OIC_KM_API_PASS,,
N,KM_REST.agentDefinition=,,,
N,,,,
Y,LKUP_ORARP_SOAP.connection.WSDL URL=,FD_OIC_ORA_LKUP_URL,,
N,LKUP_ORARP_SOAP.connection.Service WSDL=,,,
N,LKUP_ORARP_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,LKUP_ORARP_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,LKUP_ORARP_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,LKUP_ORARP_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,LKUP_ORARP_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,LKUP_ORARP_SOAP.secure.Username=,FD_OIC_CMN_EKAA_USER,,
Y,LKUP_ORARP_SOAP.secure.Password=,FD_OIC_CMN_EKAA_PASS,,
N,LKUP_ORARP_SOAP.agentDefinition=,,,
N,,,,
Y,MAXIMO_CHL_COA_SOAP.connection.WSDL URL=,FD_OIC_MAX_CHL_COA_URL,,
N,MAXIMO_CHL_COA_SOAP.connection.Service WSDL=,,,
N,MAXIMO_CHL_COA_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_CHL_COA_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_CHL_COA_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_CHL_COA_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_CHL_COA_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_CHL_COA_SOAP.agentDefinition=,FD_OIC_CMN_CHL_AGENT,,
N,,,,
Y,MAXIMO_CHL_FXR_SOAP.connection.WSDL URL=,FD_OIC_MAX_CHL_FXR_URL,,
N,MAXIMO_CHL_FXR_SOAP.connection.Service WSDL=,,,
N,MAXIMO_CHL_FXR_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_CHL_FXR_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_CHL_FXR_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_CHL_FXR_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_CHL_FXR_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_CHL_FXR_SOAP.agentDefinition=,FD_OIC_CMN_CHL_AGENT,,
N,,,,
Y,MAXIMO_CHL_GLC_SOAP.connection.WSDL URL=,FD_OIC_MAX_CHL_GLC_URL,,
N,MAXIMO_CHL_GLC_SOAP.connection.Service WSDL=,,,
N,MAXIMO_CHL_GLC_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_CHL_GLC_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_CHL_GLC_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_CHL_GLC_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_CHL_GLC_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_CHL_GLC_SOAP.agentDefinition=,FD_OIC_CMN_CHL_AGENT,,
N,,,,
Y,MAXIMO_CHL_INC_SOAP.connection.WSDL URL=,FD_OIC_MAX_CHL_INC_URL,,
N,MAXIMO_CHL_INC_SOAP.connection.Service WSDL=,,,
N,MAXIMO_CHL_INC_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_CHL_INC_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_CHL_INC_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_CHL_INC_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_CHL_INC_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_CHL_INC_SOAP.agentDefinition=,FD_OIC_CMN_CHL_AGENT,,
N,,,,
Y,MAXIMO_CHL_INV_SOAP.connection.WSDL URL=,FD_OIC_MAX_CHL_INV_URL,,
N,MAXIMO_CHL_INV_SOAP.connection.Service WSDL=,,,
N,MAXIMO_CHL_INV_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_CHL_INV_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_CHL_INV_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_CHL_INV_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_CHL_INV_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_CHL_INV_SOAP.agentDefinition=,FD_OIC_CMN_CHL_AGENT,,
N,,,,
Y,MAXIMO_CHL_JRL_CTL_SOAP.connection.WSDL URL=,FD_OIC_MAX_CHL_JRL_CTL_URL,,
N,MAXIMO_CHL_JRL_CTL_SOAP.connection.Service WSDL=,,,
N,MAXIMO_CHL_JRL_CTL_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_CHL_JRL_CTL_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_CHL_JRL_CTL_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_CHL_JRL_CTL_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_CHL_JRL_CTL_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_CHL_JRL_CTL_SOAP.agentDefinition=,FD_OIC_CMN_CHL_AGENT,,
N,,,,
Y,MAXIMO_CHL_JRL_LN_SOAP.connection.WSDL URL=,FD_OIC_MAX_CHL_JRL_LN_URL,,
N,MAXIMO_CHL_JRL_LN_SOAP.connection.Service WSDL=,,,
N,MAXIMO_CHL_JRL_LN_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_CHL_JRL_LN_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_CHL_JRL_LN_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_CHL_JRL_LN_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_CHL_JRL_LN_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_CHL_JRL_LN_SOAP.agentDefinition=,FD_OIC_CMN_CHL_AGENT,,
N,,,,
Y,MAXIMO_CHL_JRL_QRY_SOAP.connection.WSDL URL=,FD_OIC_MAX_CHL_JRL_QRY_URL,,
N,MAXIMO_CHL_JRL_QRY_SOAP.connection.Service WSDL=,,,
N,MAXIMO_CHL_JRL_QRY_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_CHL_JRL_QRY_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_CHL_JRL_QRY_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_CHL_JRL_QRY_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_CHL_JRL_QRY_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_CHL_JRL_QRY_SOAP.agentDefinition=,FD_OIC_CMN_CHL_AGENT,,
N,,,,
Y,MAXIMO_CHL_VDR_SOAP.connection.WSDL URL=,FD_OIC_MAX_CHL_VDR_URL,,
N,MAXIMO_CHL_VDR_SOAP.connection.Service WSDL=,,,
N,MAXIMO_CHL_VDR_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_CHL_VDR_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_CHL_VDR_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_CHL_VDR_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_CHL_VDR_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_CHL_VDR_SOAP.agentDefinition=,FD_OIC_CMN_CHL_AGENT,,
N,,,,
Y,MAXIMO_EGY_COA_SOAP.connection.WSDL URL=,FD_OIC_MAX_EGY_COA_URL,,
N,MAXIMO_EGY_COA_SOAP.connection.Service WSDL=,,,
N,MAXIMO_EGY_COA_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_EGY_COA_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_EGY_COA_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_EGY_COA_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_EGY_COA_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_EGY_COA_SOAP.agentDefinition=,FD_OIC_CMN_EGY_AGENT,,
N,,,,
y,MAXIMO_EGY_FXR_SOAP.connection.WSDL URL=,FD_OIC_MAX_EGY_FXR_URL,,
N,MAXIMO_EGY_FXR_SOAP.connection.Service WSDL=,,,
N,MAXIMO_EGY_FXR_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_EGY_FXR_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_EGY_FXR_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_EGY_FXR_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_EGY_FXR_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_EGY_FXR_SOAP.agentDefinition=,FD_OIC_CMN_EGY_AGENT,,
N,,,,
Y,MAXIMO_EGY_GLC_SOAP.connection.WSDL URL=,FD_OIC_MAX_EGY_GLC_URL,,
N,MAXIMO_EGY_GLC_SOAP.connection.Service WSDL=,,,
N,MAXIMO_EGY_GLC_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_EGY_GLC_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_EGY_GLC_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_EGY_GLC_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_EGY_GLC_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_EGY_GLC_SOAP.agentDefinition=,FD_OIC_CMN_EGY_AGENT,,
N,,,,
Y,MAXIMO_EGY_INC_SOAP.connection.WSDL URL=,FD_OIC_MAX_EGY_INC_URL,,
N,MAXIMO_EGY_INC_SOAP.connection.Service WSDL=,,,
N,MAXIMO_EGY_INC_SOAP.connection.Target Server's TLS version (Optional)=,,,
N,MAXIMO_EGY_INC_SOAP.connection.Suppress insertion of timestamp into the request (Optional)=,,,
N,MAXIMO_EGY_INC_SOAP.connection.Ignore timestamp in the response message (Optional)=,,,
N,MAXIMO_EGY_INC_SOAP.connection.Enable two way SSL for outbound connections (Optional)=,,,
N,MAXIMO_EGY_INC_SOAP.connection.Identity keystore alias name (Optional)=,,,
Y,MAXIMO_EGY_INC_SOAP.agentDefinition=,FD_OIC_CMN_EGY_AGENT,,
N,,,,
