FlexDeploy Variable Name,Attachment,Type,Encrypt,Required,Scope,Display Name,DEV value,TEST value,PROD value
FD_OIC_CMN_MX_SSH_PRI_KEY,Y,,No,Yes,Target,FD_OIC_CMN_MX_SSH_PRI_KEY,Methanex_id_rsa.ssh,Methanex_id_rsa.ssh,Methanex_id_rsa.ssh
FD_OIC_CMN_OIC_URL,,String,No,Yes,Target,FD_OIC_CMN_OIC_URL,https://dev-methanex.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/,https://test-methanex.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/,https://prod-methanex-ia.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/
FD_OIC_CMN_OIC_USER,,String,No,Yes,Target,FD_OIC_CMN_OIC_USER,svc_oicdev,svc_oictst,svc_oicprd
FD_OIC_CMN_VBCS_URL,,String,No,Yes,Target,FD_OIC_CMN_VBCS_URL,https://dev-methanex.integration.ocp.oraclecloud.com/ic/builder/rt/OIC_RUNTIME_BUSOBJ/1.0/resources/data,https://test-methanex.integration.ocp.oraclecloud.com/ic/builder/rt/OIC_RUNTIME_BUSOBJ/1.0/resources/data,https://prod-methanex.integration.ocp.oraclecloud.com/ic/builder/rt/OIC_RUNTIME_BUSOBJ/1.0/resources/data
FD_OIC_CONCUR_ACCESS_TOKEN_RQ,,String,No,Yes,Target,FD_OIC_CONCUR_ACCESS_TOKEN_RQ,"-X POST -H 'Content-Type:application/x-www-form-urlencoded' -d 'username=WSAdminIMPL@methanex.com.uat&password=Welcome11!&client_id=f50ecdeb-88eb-4716-9b37-0c535606e9a9&client_secret=992155b7-cb19-458b-8282-b8e8c7d76077&grant_type=password&auth_chain=OAuthLdapService' ""https://us2.api.concursolutions.com/oauth2/v0/token""","-X POST -H 'Content-Type:application/x-www-form-urlencoded' -d 'username=WSAdminIMPL@methanex.com.uat&password=Welcome11!&client_id=f50ecdeb-88eb-4716-9b37-0c535606e9a9&client_secret=992155b7-cb19-458b-8282-b8e8c7d76077&grant_type=password&auth_chain=OAuthLdapService' ""https://us2.api.concursolutions.com/oauth2/v0/token""","-X POST -H 'Content-Type:application/x-www-form-urlencoded' -d 'username=WSAdminIMPL@methanex.com.uat&password=Welcome11!&client_id=f50ecdeb-88eb-4716-9b37-0c535606e9a9&client_secret=992155b7-cb19-458b-8282-b8e8c7d76077&grant_type=password&auth_chain=OAuthLdapService' ""https://us2.api.concursolutions.com/oauth2/v0/token"""
FD_OIC_CONCUR_URL,,String,No,Yes,Target,FD_OIC_CONCUR_URL,https://us2.api.concursolutions.com,https://us2.api.concursolutions.com,https://www.concursolutions.com
FD_OIC_CPQ_CUST_URL,,String,No,Yes,Target,FD_OIC_CPQ_CUST_URL,https://methanexdev1.bigmachines.com/v2_0/receiver/dataTables/37200629?wsdl,https://methanextest1.bigmachines.com/v2_0/receiver/dataTables/37200629?wsdl,https://methanex.bigmachines.com/v2_0/receiver/dataTables/37200629?wsdl
FD_OIC_CPQ_REST_URL,,String,No,Yes,Target,FD_OIC_CPQ_REST_URL,https://methanexdev1.bigmachines.com/rest/v7/commerceDocumentsNewQuoteToCashProcess1Quote,https://methanextext1.bigmachines.com/rest/v7/commerceDocumentsNewQuoteToCashProcess1Quote,https://methanex.bigmachines.com/rest/v7/commerceDocumentsNewQuoteToCashProcess1Quote
FD_OIC_CPQ_SURVDTL_URL,,String,No,Yes,Target,FD_OIC_CPQ_SURVDTL_URL,https://methanexdev1.bigmachines.com/v2_0/receiver/dataTables/37201221?wsdl,https://methanextest1.bigmachines.com/v2_0/receiver/dataTables/37201221?wsdl,https://methanex.bigmachines.com/v2_0/receiver/dataTables/37201221?wsdl
FD_OIC_CPQ_SURVHDR_URL,,String,No,Yes,Target,FD_OIC_CPQ_SURVHDR_URL,https://methanexdev1.bigmachines.com/v2_0/receiver/dataTables/37201190?wsdl,https://methanextest1.bigmachines.com/v2_0/receiver/dataTables/37201190?wsdl,https://methanex.bigmachines.com/v2_0/receiver/dataTables/37201190?wsdl
FD_OIC_DBNET_LOAD_URL,,String,No,Yes,Target,FD_OIC_DBNET_LOAD_URL,https://fewss02-cert.cl.dbnetcorp.com/DTEWSS_V1/wssCustomerETDLoadASPFolio/CustomerETDLoadASP.asmx?WSDL,https://fewss02-cert.cl.dbnetcorp.com/DTEWSS_V1/wssCustomerETDLoadASPFolio/CustomerETDLoadASP.asmx?WSDL,https://fewss02.cl.dbnetcorp.com/DTEWSS_V1/wssCustomerETDLoadASPFolio/CustomerETDLoadASP.asmx?WSDL
FD_OIC_DBNET_STATUS_URL,,String,No,Yes,Target,FD_OIC_DBNET_STATUS_URL,https://fewss02-cert.cl.dbnetcorp.com/DTEWSS_V4/wssConsultaEstadoASP/ConsultaEstado.asmx?WSDL,https://fewss02-cert.cl.dbnetcorp.com/DTEWSS_V4/wssConsultaEstadoASP/ConsultaEstado.asmx?WSDL,https://fewss02.cl.dbnetcorp.com/DTEWSS_V4/wssConsultaEstadoASP/ConsultaEstado.asmx?WSDL
FD_OIC_DBNET_USER,,String,No,Yes,Target,FD_OIC_DBNET_USER,WSS_CERTIFICACION,WSS_CERTIFICACION,PROD0229_WSS
FD_OIC_HSBC_SFTP_AP_NAME,,String,No,Yes,Target,FD_OIC_HSBC_SFTP_AP_NAME,PC000023034_24965,PC000023034_24965,PC000027197_27982
FD_OIC_HSBC_SFTP_CN_NAME,,String,No,Yes,Target,FD_OIC_HSBC_SFTP_CN_NAME,PC000023034_24963,PC000023034_24963,PC000027197_28731
FD_OIC_HSBC_SFTP_URL,,String,No,Yes,Target,FD_OIC_HSBC_SFTP_URL,ecom-sftp.fguk-pprd.hsbc.com,ecom-sftp.fguk-pprd.hsbc.com,ecom-sftp.fguk.hsbc.com
FD_OIC_IMOS_OIC_URL,,String,No,Yes,Target,FD_OIC_IMOS_OIC_URL,https://dev-methanex.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/INV_VIMOS_GBL_SUB/1.0/invoice,https://test-methanex.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/INV_VIMOS_GBL_SUB/1.0/invoice,https://prod-methanex.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/INV_VIMOS_GBL_SUB/1.0/invoice
FD_OIC_IMOS_URL,,String,No,Yes,Target,FD_OIC_IMOS_URL,https://api.test.veslink.com/,https://api.test.veslink.com/,https://api.veslink.com
FD_OIC_ITC_SFTP_URL,,String,No,Yes,Target,FD_OIC_ITC_SFTP_URL,ftp2.iterm.com,ftp2.iterm.com,ftp2.iterm.com
FD_OIC_ITC_SFTP_USER,,String,No,Yes,Target,FD_OIC_ITC_SFTP_USER,methanex,methanex,methanex
FD_OIC_JPM_SFTP_URL,,String,No,Yes,Target,FD_OIC_JPM_SFTP_URL,transmissions-uat.jpmorgan.com,transmissions-uat.jpmorgan.com,transmissions.jpmorgan.com
FD_OIC_JPM_SFTP_USER,,String,No,Yes,Target,FD_OIC_JPM_SFTP_USER,METHANEX,METHANEX,METHANEX
FD_OIC_KLS_SFTP_URL,,String,No,Yes,Target,FD_OIC_KLS_SFTP_URL,129.213.183.124,129.213.183.124,sftp.kleinschmidt.com
FD_OIC_KLS_SFTP_USER,,String,No,Yes,Target,FD_OIC_KLS_SFTP_USER,oicdev,oictst,METHAN
FD_OIC_KM_API_URL,,String,No,Yes,Target,FD_OIC_KM_API_URL,https://X12test.kindermorgan.com:8443/ipnet,https://X12test.kindermorgan.com:8443/ipnet,https://X12.kindermorgan.com:8443/ipnet
FD_OIC_KM_API_USER,,String,No,Yes,Target,FD_OIC_KM_API_USER,KM_METHANEX2022,KM_METHANEX2022,KM_METHANEX2022
FD_OIC_MAX_CHL_COA_URL,,String,No,Yes,Target,FD_OIC_MAX_CHL_COA_URL,http://mxclpuqsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COA_WS.wsdl,http://mxclpuqsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COA_WS.wsdl,http://mxclpuqsv012.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COA_WS.wsdl
FD_OIC_MAX_CHL_FXR_URL,,String,No,Yes,Target,FD_OIC_MAX_CHL_FXR_URL,http://mxclpuqsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_EXCHANGE_WS.wsdl,http://mxclpuqsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_EXCHANGE_WS.wsdl,http://mxclpuqsv012.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_EXCHANGE_WS.wsdl
FD_OIC_MAX_CHL_GLC_URL,,String,No,Yes,Target,FD_OIC_MAX_CHL_GLC_URL,http://mxclpuqsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_GLCOMP_WS.wsdl,http://mxclpuqsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_GLCOMP_WS.wsdl,http://mxclpuqsv012.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_GLCOMP_WS.wsdl
FD_OIC_MAX_CHL_INC_URL,,String,No,Yes,Target,FD_OIC_MAX_CHL_INC_URL,http://mxclpuqsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVSTATUS_WS.wsdl,http://mxclpuqsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVSTATUS_WS.wsdl,http://mxclpuqsv012.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVSTATUS_WS.wsdl
FD_OIC_MAX_CHL_INV_URL,,String,No,Yes,Target,FD_OIC_MAX_CHL_INV_URL,http://mxclpuqsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVOICE_WS.wsdl,http://mxclpuqsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVOICE_WS.wsdl,http://mxclpuqsv012.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVOICE_WS.wsdl
FD_OIC_MAX_CHL_JRL_CTL_URL,,String,No,Yes,Target,FD_OIC_MAX_CHL_JRL_CTL_URL,http://mxclpuqsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_CONTROL_WS.wsdl,http://mxclpuqsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_CONTROL_WS.wsdl,http://mxclpuqsv012.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_CONTROL_WS.wsdl
FD_OIC_MAX_CHL_JRL_LN_URL,,String,No,Yes,Target,FD_OIC_MAX_CHL_JRL_LN_URL,http://mxclpuqsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_LN_WS.wsdl,http://mxclpuqsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_LN_WS.wsdl,http://mxclpuqsv012.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_LN_WS.wsdl
FD_OIC_MAX_CHL_JRL_QRY_URL,,String,No,Yes,Target,FD_OIC_MAX_CHL_JRL_QRY_URL,http://mxclpuqsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNLCNTRL_QRY.wsdl,http://mxclpuqsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNLCNTRL_QRY.wsdl,http://mxclpuqsv012.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNLCNTRL_QRY.wsdl
FD_OIC_MAX_CHL_VDR_URL,,String,No,Yes,Target,FD_OIC_MAX_CHL_VDR_URL,http://mxclpuqsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COMPANY_WS.wsdl,http://mxclpuqsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COMPANY_WS.wsdl,http://mxclpuqsv012.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COMPANY_WS.wsdl
FD_OIC_MAX_EGY_COA_URL,,String,No,Yes,Target,FD_OIC_MAX_EGY_COA_URL,http://mxegdamsv013.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COA_WS.wsdl,http://mxegdamsv013.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COA_WS.wsdl,http://mxegdamsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COA_WS.wsdl
FD_OIC_MAX_EGY_FXR_URL,,String,No,Yes,Target,FD_OIC_MAX_EGY_FXR_URL,http://mxegdamsv013.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_EXCHANGE_WS.wsdl,http://mxegdamsv013.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_EXCHANGE_WS.wsdl,http://mxegdamsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_EXCHANGE_WS.wsdl
FD_OIC_MAX_EGY_GLC_URL,,String,No,Yes,Target,FD_OIC_MAX_EGY_GLC_URL,http://mxegdamsv013.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_GLCOMP_WS.wsdl,http://mxegdamsv013.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_GLCOMP_WS.wsdl,http://mxegdamsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_GLCOMP_WS.wsdl
FD_OIC_MAX_EGY_INC_URL,,String,No,Yes,Target,FD_OIC_MAX_EGY_INC_URL,http://mxegdamsv013.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVSTATUS_WS.wsdl,http://mxegdamsv013.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVSTATUS_WS.wsdl,http://mxegdamsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVSTATUS_WS.wsdl
FD_OIC_MAX_EGY_INV_URL,,String,No,Yes,Target,FD_OIC_MAX_EGY_INV_URL,http://mxegdamsv013.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVOICE_WS.wsdl,http://mxegdamsv013.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVOICE_WS.wsdl,http://mxegdamsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVOICE_WS.wsdl
FD_OIC_MAX_EGY_JRL_CTL_URL,,String,No,Yes,Target,FD_OIC_MAX_EGY_JRL_CTL_URL,http://mxegdamsv013.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_CONTROL_WS.wsdl,http://mxegdamsv013.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_CONTROL_WS.wsdl,http://mxegdamsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_CONTROL_WS.wsdl
FD_OIC_MAX_EGY_JRL_LN_URL,,String,No,Yes,Target,FD_OIC_MAX_EGY_JRL_LN_URL,http://mxegdamsv013.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_LN_WS.wsdl,http://mxegdamsv013.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_LN_WS.wsdl,http://mxegdamsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_LN_WS.wsdl
FD_OIC_MAX_EGY_JRL_QRY_URL,,String,No,Yes,Target,FD_OIC_MAX_EGY_JRL_QRY_URL,http://mxegdamsv013.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNLCNTRL_QRY.wsdl,http://mxegdamsv013.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNLCNTRL_QRY.wsdl,http://mxegdamsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNLCNTRL_QRY.wsdl
FD_OIC_MAX_EGY_VDR_URL,,String,No,Yes,Target,FD_OIC_MAX_EGY_VDR_URL,http://mxegdamsv013.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COMPANY_WS.wsdl,http://mxegdamsv013.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COMPANY_WS.wsdl,http://mxegdamsv019.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COMPANY_WS.wsdl
FD_OIC_MAX_GEI_COA_URL,,String,No,Yes,Target,FD_OIC_MAX_GEI_COA_URL,http://usgei-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COA_WS.wsdl,http://usgei-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COA_WS.wsdl,http://usgei-maxap02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COA_WS.wsdl
FD_OIC_MAX_GEI_FXR_URL,,String,No,Yes,Target,FD_OIC_MAX_GEI_FXR_URL,http://usgei-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_EXCHANGE_WS.wsdl,http://usgei-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_EXCHANGE_WS.wsdl,http://usgei-maxap02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_EXCHANGE_WS.wsdl
FD_OIC_MAX_GEI_GLC_URL,,String,No,Yes,Target,FD_OIC_MAX_GEI_GLC_URL,http://usgei-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_GLCOMP_WS.wsdl,http://usgei-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_GLCOMP_WS.wsdl,http://usgei-maxap02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_GLCOMP_WS.wsdl
FD_OIC_MAX_GEI_INC_URL,,String,No,Yes,Target,FD_OIC_MAX_GEI_INC_URL,http://usgei-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVSTATUS_WS.wsdl,http://usgei-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVSTATUS_WS.wsdl,http://usgei-maxap02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVSTATUS_WS.wsdl
FD_OIC_MAX_GEI_INV_URL,,String,No,Yes,Target,FD_OIC_MAX_GEI_INV_URL,http://usgei-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVOICE_WS.wsdl,http://usgei-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVOICE_WS.wsdl,http://usgei-maxap02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVOICE_WS.wsdl
FD_OIC_MAX_GEI_JRL_CTL_URL,,String,No,Yes,Target,FD_OIC_MAX_GEI_JRL_CTL_URL,http://usgei-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_CONTROL_WS.wsdl,http://usgei-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_CONTROL_WS.wsdl,http://usgei-maxap02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_CONTROL_WS.wsdl
FD_OIC_MAX_GEI_JRL_LN_URL,,String,No,Yes,Target,FD_OIC_MAX_GEI_JRL_LN_URL,http://usgei-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_LN_WS.wsdl,http://usgei-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_LN_WS.wsdl,http://usgei-maxap02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_LN_WS.wsdl
FD_OIC_MAX_GEI_JRL_QRY_URL,,String,No,Yes,Target,FD_OIC_MAX_GEI_JRL_QRY_URL,http://usgei-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNLCNTRL_QRY.wsdl,http://usgei-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNLCNTRL_QRY.wsdl,http://usgei-maxap02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNLCNTRL_QRY.wsdl
FD_OIC_MAX_GEI_VDR_URL,,String,No,Yes,Target,FD_OIC_MAX_GEI_VDR_URL,http://usgei-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COMPANY_WS.wsdl,http://usgei-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COMPANY_WS.wsdl,http://usgei-maxap02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COMPANY_WS.wsdl
FD_OIC_MAX_MHT_COA_URL,,String,No,Yes,Target,FD_OIC_MAX_MHT_COA_URL,http://camed-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COA_WS.wsdl,http://camed-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COA_WS.wsdl,http://camed-maxap02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COA_WS.wsdl
FD_OIC_MAX_MHT_FXR_URL,,String,No,Yes,Target,FD_OIC_MAX_MHT_FXR_URL,http://camed-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_EXCHANGE_WS.wsdl,http://camed-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_EXCHANGE_WS.wsdl,http://camed-maxap02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_EXCHANGE_WS.wsdl
FD_OIC_MAX_MHT_GLC_URL,,String,No,Yes,Target,FD_OIC_MAX_MHT_GLC_URL,http://camed-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_GLCOMP_WS.wsdl,http://camed-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_GLCOMP_WS.wsdl,http://camed-maxap02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_GLCOMP_WS.wsdl
FD_OIC_MAX_MHT_INC_URL,,String,No,Yes,Target,FD_OIC_MAX_MHT_INC_URL,http://camed-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVSTATUS_WS.wsdl,http://camed-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVSTATUS_WS.wsdl,http://camed-maxap02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVSTATUS_WS.wsdl
FD_OIC_MAX_MHT_INV_URL,,String,No,Yes,Target,FD_OIC_MAX_MHT_INV_URL,http://camed-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVOICE_WS.wsdl,http://camed-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVOICE_WS.wsdl,http://camed-maxap02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_INVOICE_WS.wsdl
FD_OIC_MAX_MHT_JRL_CTL_URL,,String,No,Yes,Target,FD_OIC_MAX_MHT_JRL_CTL_URL,http://camed-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_CONTROL_WS.wsdl,http://camed-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_CONTROL_WS.wsdl,http://camed-maxap02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_CONTROL_WS.wsdl
FD_OIC_MAX_MHT_JRL_LN_URL,,String,No,Yes,Target,FD_OIC_MAX_MHT_JRL_LN_URL,http://camed-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_LN_WS.wsdl,http://camed-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_LN_WS.wsdl,http://camed-maxap02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNL_LN_WS.wsdl
FD_OIC_MAX_MHT_JRL_QRY_URL,,String,No,Yes,Target,FD_OIC_MAX_MHT_JRL_QRY_URL,http://camed-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNLCNTRL_QRY.wsdl,http://camed-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNLCNTRL_QRY.wsdl,http://camed-maxap02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_JRNLCNTRL_QRY.wsdl
FD_OIC_MAX_MHT_VDR_URL,,String,No,Yes,Target,FD_OIC_MAX_MHT_VDR_URL,http://camed-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COMPANY_WS.wsdl,http://camed-maxapts02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COMPANY_WS.wsdl,http://camed-maxap02.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COMPANY_WS.wsdl
FD_OIC_MAX_NZL_COA_URL,,String,No,Yes,Target,FD_OIC_MAX_NZL_COA_URL,http://mxnzmotsv018.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COA_WS.wsdl,http://mxnzmotsv018.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COA_WS.wsdl,http://mxnzmotsv022.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_COA_WS.wsdl
FD_OIC_MAX_NZL_FXR_URL,,String,No,Yes,Target,FD_OIC_MAX_NZL_FXR_URL,http://mxnzmotsv018.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_EXCHANGE_WS.wsdl,http://mxnzmotsv018.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_EXCHANGE_WS.wsdl,http://mxnzmotsv022.methanex.com/meaweb/wsdl/MT_ORACLE_ERP_MT_EXCHANGE_WS.wsdl
